kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra_str,dec_str,koi_kepmag,koi_kepmag_err
10811496,K00753.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.89913995,1.494e-05,-1.494e-05,175.850252,0.0005809999999999999,-0.0005809999999999999,0.9690000000000001,5.126,-0.077,1.7822,0.0341,-0.0341,10829.0,171.0,-171.0,14.6,3.92,-1.31,638.0,,,39.3,31.04,-10.49,76.3,1,q1_q17_dr25_tce,5853.0,158.0,-176.0,4.544,0.044000000000000004,-0.17600000000000002,0.868,0.233,-0.078,19h48m01.16s,+48d08m02.9s,15.436,
10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.7369524530000002,2.63e-07,-2.63e-07,170.30756499999998,0.00011499999999999999,-0.00011499999999999999,1.276,0.115,-0.092,2.4064099999999997,0.005370000000000001,-0.005370000000000001,8079.2,12.8,-12.8,33.46,8.5,-2.83,1395.0,,,891.96,668.95,-230.35,505.6,1,q1_q17_dr25_tce,5805.0,157.0,-174.0,4.564,0.053,-0.168,0.791,0.201,-0.067,19h02m08.31s,+48d17m06.8s,15.597000000000001,
10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.525591777,3.761e-06,-3.761e-06,171.59555,0.0011300000000000001,-0.0011300000000000001,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,2.75,0.88,-0.35,1406.0,,,926.16,874.33,-314.24,40.9,1,q1_q17_dr25_tce,6031.0,169.0,-211.0,4.438,0.07,-0.21,1.046,0.334,-0.133,19h15m01.17s,+48d13m34.3s,15.509,
10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.09432054,2.036e-05,-2.036e-05,171.20116000000002,0.00141,-0.00141,0.5379999999999999,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,3.9,1.27,-0.42,835.0,,,114.81,112.85,-36.7,66.5,1,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,19h45m08.67s,+48d13m28.8s,15.714,
10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.13443512,1.046e-05,-1.046e-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686.0,18.7,-18.7,2.77,0.9,-0.3,1160.0,,,427.65,420.33,-136.7,40.2,2,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,19h45m08.67s,+48d13m28.8s,15.714,
9579641,K00115.03,,CANDIDATE,CANDIDATE,0.871,0,0,0,0,3.43591631,4.729e-05,-4.729e-05,132.6624,0.011000000000000001,-0.011000000000000001,0.624,0.037000000000000005,-0.47600000000000003,3.133,0.40700000000000003,-0.40700000000000003,23.2,3.4,-3.4,0.55,0.08,-0.07,1272.0,,,617.61,251.11,-186.88,8.7,3,q1_q17_dr25_tce,5779.0,104.0,-115.0,4.3389999999999995,0.132,-0.10800000000000001,1.087,0.157,-0.142,19h11m32.96s,+46d16m34.5s,12.790999999999999,
10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781e-05,-1.781e-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.4290000000000003,0.165,-0.165,226.5,16.8,-16.8,1.59,0.52,-0.17,1360.0,,,807.74,793.91,-258.2,15.0,3,q1_q17_dr25_tce,6046.0,189.0,-232.0,4.486000000000001,0.054000000000000006,-0.22899999999999998,0.972,0.315,-0.105,19h45m08.67s,+48d13m28.8s,15.714,
5436502,K00834.01,Kepler-238 e,CONFIRMED,CANDIDATE,0.999,0,0,0,0,23.65369415,1.748e-05,-1.748e-05,171.37610700000002,0.000603,-0.000603,0.008,0.16899999999999998,-0.008,8.2183,0.021,-0.021,3341.8,13.2,-13.2,7.89,1.38,-1.52,731.0,,,67.65,33.37,-26.59,266.3,1,q1_q17_dr25_tce,5739.0,114.0,-103.0,4.191,0.162,-0.10800000000000001,1.384,0.242,-0.266,19h11m35.31s,+40d38m16.2s,15.084000000000001,
5436502,K00834.02,Kepler-238 d,CONFIRMED,CANDIDATE,0.996,0,0,0,0,13.23352214,4.503e-05,-4.503e-05,140.32196000000002,0.00275,-0.00275,0.013999999999999999,0.39899999999999997,-0.013999999999999999,6.7372,0.0875,-0.0875,504.6,10.8,-10.8,3.06,0.54,-0.58,888.0,,,146.67,72.35,-57.65,49.1,2,q1_q17_dr25_tce,5739.0,114.0,-103.0,4.191,0.162,-0.10800000000000001,1.384,0.242,-0.266,19h11m35.31s,+40d38m16.2s,15.084000000000001,
5436502,K00834.03,Kepler-238 c,CONFIRMED,CANDIDATE,0.997,0,0,0,0,6.15560285,2.704e-05,-2.704e-05,134.81656,0.00345,-0.00345,0.235,0.204,-0.235,4.9843,0.0994,-0.0994,285.0,8.6,-8.6,2.32,0.4,-0.45,1146.0,,,406.94,200.73,-159.95,35.1,3,q1_q17_dr25_tce,5739.0,114.0,-103.0,4.191,0.162,-0.10800000000000001,1.384,0.242,-0.266,19h11m35.31s,+40d38m16.2s,15.084000000000001,
