# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Dec 18 18:31:51 2019
#
# User preference: *
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN fpwg_koi_period: KOI Transit Period [days]
# COLUMN fpwg_disp_status: High Level Disposition
# COLUMN fpwg_disp_source: Target Is Source High Level Flag
# COLUMN fpwg_disp_eb:   Eclipsing Binary High Level Flag
# COLUMN fpwg_disp_offst: Offset High Level Flag
# COLUMN fpwg_disp_perep: Period Epoch Match High Level Flag
# COLUMN fpwg_disp_other: Other False Positive High Level Flag
# COLUMN fpwg_flux_ss:   Secondary Observed Flux-based Flag
# COLUMN fpwg_flux_slflum: Secondary Self-Luminous Flux-based Flag
# COLUMN fpwg_flux_oedp: Significant Odd/Even Flux-based Flag
# COLUMN fpwg_flux_vshape: V-Shaped Flux-based Flag
# COLUMN fpwg_flux_depth: Depth Implies Stellar Size Flux-based Flag
# COLUMN fpwg_flux_dilutn: Dilution Implies Stellar Size Flux-based Flag
# COLUMN fpwg_flux_lcurve: Light Curve Inconsistent With Planet Flux-based Flag
# COLUMN fpwg_flux_ootvar: Phase Variations Imply Stellar Flux-based Flag
# COLUMN fpwg_flux_corvar: Transit Correlated Flux Variations Flux-based Flag
# COLUMN fpwg_flux_other: Other Flux-based Flag
# COLUMN fpwg_flux_stellr: Stellar Parameters Not Trustworthy Flux-based Flag
# COLUMN fpwg_flux_noteb: Evidence For EB Not Compelling Flux-based Flag
# COLUMN fpwg_offst_sig: Significant Measured Offset Flag
# COLUMN fpwg_offst_badim: Bad Difference Images Offset Flag
# COLUMN fpwg_offst_inval: Centroid Offset Not Valid Offset Flag
# COLUMN fpwg_offst_vis: Offset Visually Identified Offset Flag
# COLUMN fpwg_offst_star: Star Detected At Transit  Location Offset Flag
# COLUMN fpwg_offst_qvars: Quarterly Depth Variations Offset Flag
# COLUMN fpwg_offst_other: Other Offset Flag
# COLUMN fpwg_offst_nooff: Evidence For Offset Not Compelling Flag
# COLUMN fpwg_perep_match: Period-Epoch Match To Parent Flag
# COLUMN fpwg_perep_direc: Direct PRF Contamination Period-Epoch Matching Flag
# COLUMN fpwg_perep_col: Column Effect Period-Epoch Matching Flag
# COLUMN fpwg_perep_ghost: Optical Ghost Period-Epoch Matching Flag
# COLUMN fpwg_perep_video: Video Crosstalk Period-Epoch Matching Flag
# COLUMN fpwg_perep_ref: Reflected  Light Period-Epoch Matching Flag
# COLUMN fpwg_fa_starvar: Stellar Variability False Alarm Flag
# COLUMN fpwg_fa_unique: Transit Not Unique False Alarm Flag
# COLUMN fpwg_fa_thermal: Thermal Event False Alarm Flag
# COLUMN fpwg_fa_ntl:    Not Transit Like False Alarm Flag
# COLUMN fpwg_fa_artifact: Image Artifact False Alarm Flag
# COLUMN fpwg_fa_other:  Other False Alarm Flag
# COLUMN fpwg_fa_notfa:  Evidence For False Alarm Not Compelling Flag
# COLUMN fpwg_fop_rvs1:  Single Line RVs At Transit Ephemeris FOP Flag
# COLUMN fpwg_fop_rvs2:  Double Line RVs At Transit Ephemeris FOP Flag
# COLUMN fpwg_fop_rvs3:  RVs Not At Transit Ephemeris FOP Flag
# COLUMN fpwg_fop_dblline: Composite Spectrum FOP Flag
# COLUMN fpwg_fop_imexam: HighRes Image Examined FOP Flag
# COLUMN fpwg_fop_imblend: HighRes Image Shows Blend FOP Flag
# COLUMN fpwg_efp_public: Publicly Identified False Positive Flag
# COLUMN fpwg_efp_pubexam: Examined By FPWG Flag
# COLUMN fpwg_efp_accept: Accepted As FP By FPWG Flag
# COLUMN fpwg_obs_ra:    Observed RA Offset from Target Star [arcsec]
# COLUMN fpwg_obs_ra_err: Observed RA Offset Uncertainty [arcsec]
# COLUMN fpwg_obs_dec:   Observed DEC Offset from Target Star [arcsec]
# COLUMN fpwg_obs_dec_err: Observed DEC Offset Uncertainty [arcsec]
# COLUMN fpwg_obs_offst: Observed Offset from Target Star [arcsec]
# COLUMN fpwg_obs_off_err: Observed Offset Uncertainty [arcsec]
# COLUMN fpwg_obs_uncunit: Observer Offset from Target Star in Units of Uncertainty
# COLUMN fpwg_obs_kepid: KIC Identifier of Star at Transit Location
# COLUMN fpwg_obs_kepmag: Kepler-band Magnitude of Star at Transit Location
# COLUMN fpwg_obs_depth: Modeled Transit Depth on Star at Transit Location
# COLUMN fpwg_obs_idprov: Provenance of Star at Transit Location
# COLUMN fpwg_obs_secdep: Measured Secondary Transit Depth
# COLUMN fpwg_obs_albedo: Inferred Albedo
# COLUMN fpwg_comment:   FPWG Comment
# COLUMN fpwg_tablename: Kepler False Positive Table Identifier
# COLUMN fpwg_vet_date:  Vetting Date
#
rowid,kepid,kepoi_name,fpwg_koi_period,fpwg_disp_status,fpwg_disp_source,fpwg_disp_eb,fpwg_disp_offst,fpwg_disp_perep,fpwg_disp_other,fpwg_flux_ss,fpwg_flux_slflum,fpwg_flux_oedp,fpwg_flux_vshape,fpwg_flux_depth,fpwg_flux_dilutn,fpwg_flux_lcurve,fpwg_flux_ootvar,fpwg_flux_corvar,fpwg_flux_other,fpwg_flux_stellr,fpwg_flux_noteb,fpwg_offst_sig,fpwg_offst_badim,fpwg_offst_inval,fpwg_offst_vis,fpwg_offst_star,fpwg_offst_qvars,fpwg_offst_other,fpwg_offst_nooff,fpwg_perep_match,fpwg_perep_direc,fpwg_perep_col,fpwg_perep_ghost,fpwg_perep_video,fpwg_perep_ref,fpwg_fa_starvar,fpwg_fa_unique,fpwg_fa_thermal,fpwg_fa_ntl,fpwg_fa_artifact,fpwg_fa_other,fpwg_fa_notfa,fpwg_fop_rvs1,fpwg_fop_rvs2,fpwg_fop_rvs3,fpwg_fop_dblline,fpwg_fop_imexam,fpwg_fop_imblend,fpwg_efp_public,fpwg_efp_pubexam,fpwg_efp_accept,fpwg_obs_ra,fpwg_obs_ra_err,fpwg_obs_dec,fpwg_obs_dec_err,fpwg_obs_offst,fpwg_obs_off_err,fpwg_obs_uncunit,fpwg_obs_kepid,fpwg_obs_kepmag,fpwg_obs_depth,fpwg_obs_idprov,fpwg_obs_secdep,fpwg_obs_albedo,fpwg_comment,fpwg_tablename,fpwg_vet_date
1,757450,K00889.01,8.88,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,892772,K01009.01,5.09,CERTIFIED FP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,75,45.674,Signal on 21.4 mag companion 20933672,,2015-09-04
3,1025986,K07621.01,275.07,POSSIBLE PLANET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Quasi-sinusoidal noise from starspots. DV detrending doesn't model it quite right resulting in some large outlier trends. But I think the transit signal is real as they don't fall on these systematics and appear real in PDC.,,2017-06-12
4,1026032,K06252.01,8.46,CERTIFIED FP,1,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,Listed in EB catalog.,,2016-06-24
5,1026957,K00958.01,21.76,POSSIBLE PLANET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,34,51.169,Nothing wrong with this one.  Rescue as a planet candidate.,,2015-06-12
6,1027438,K01010.01,110.62,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1161345,K00984.01,4.29,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1161949,K04920.01,473.95,CERTIFIED FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,379,18192.514,,,2014-08-01
9,1164301,K04921.01,95.69,POSSIBLE PLANET,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,599,97.074,,,2014-08-01
10,1293031,K04162.01,0.54,CERTIFIED FA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2019-03-29
11,1293046,K07622.01,36.27,CERTIFIED FP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,"Appears centred on KIC 1293055, Kp = 19.47.",,2019-07-26
12,1293379,K06253.01,27.56,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1297263,K04922.01,153.52,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,1429589,K04923.01,38.17,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1430305,K04873.01,359.33,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1431122,K00994.01,4.30,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1432214,K00998.01,161.79,CERTIFIED FP,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1035,182.068,Large ecosw value.,,2014-08-01
18,1432789,K00992.01,9.93,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1432789,K00992.02,4.58,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1433531,K06254.01,567.71,NOT EXAMINED,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1433962,K00982.01,1.59,CERTIFIED FP,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,29,6.628,,,2015-02-27
22,1433980,K03924.01,1.59,CERTIFIED FP,1,1,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,"CFOP lists a radius of 85.96 Re. Listed in EB catalog. Identified as ephemeris match, but that classification is likely incorrect (from JeffCoughlin).",,2016-06-24
23,1434395,K07623.01,2.22,CERTIFIED FP,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,2017-11-10
