TCE_ID,Score,period,Rp,SNR_DV
002450716-01,0.065,301.75763341,1.523,6.0
002578869-01,0.062,515.98248502,3.466,9.5
003848528-01,0.087,497.34434704,2.004,6.6
004383044-01,0.058,225.57084851,2.281,7.6
004932013-01,0.097,127.27265924,2.811,7.9
005429911-01,0.063,168.20441211,3.95,6.3
005962124-01,0.079,519.36482401,2.327,8.4
006063448-03,0.064,0.89364574,2.153,16.5
006290935-02,0.051,3.42250751,0.761,7.8
006310627-01,0.084,419.24519875,9.167,5.8
006794736-02,0.065,239.90024702,47.562,7.6
007098049-01,0.09,31.0655819,1.407,7.6
007899038-01,0.051,309.49761943,2.828,6.8
008442463-01,0.066,138.96038479,5.912,6.7
008555779-01,0.074,245.38267855,3.27,7.7
008742953-01,0.08,564.43331454,3.761,7.0
008801883-01,0.086,324.87124668,1.521,8.0
008885808-01,0.075,329.72747085,1.836,7.7
008893627-01,0.056,295.60461804,2.147,6.8
008956706-07,0.082,385.18904964,2.891,8.8
009533045-01,0.059,272.95143845,2.288,7.4
010287145-01,0.08,242.62409167,5.826,7.6
010402172-04,0.076,226.02240266,2.246,6.7
010461795-01,0.058,616.77816356,2.145,6.7
010467309-01,0.06,365.68832722,3.349,8.7
010669587-01,0.062,287.73739027,1.611,7.2
010744554-01,0.08,390.61876654,11.234,7.5
011237342-01,0.075,253.43113169,1.699,7.1
011407805-01,0.078,315.42474122,14.377,7.3
012068928-01,0.068,351.78530376,2.545,7.1
012783990-01,0.081,602.33941689,11.715,7.3
