# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Jun  2 13:37:35 2020
#
# User preference: *
#
# COLUMN kepoi_name:     KOI Name
# COLUMN pp_host_rel_prob: Host Star Relative Probability
# COLUMN pp_host_prob_score: Host Star Probability Usability Score
# COLUMN pp_1hi_starid:  Highest Prob. Star ID
# COLUMN pp_1hi_rel_prob: Highest Prob. Star Relative Probability
# COLUMN pp_2hi_starid:  2nd Highest Prob. Star ID
# COLUMN pp_2hi_rel_prob: 2nd Highest Prob. Star Relative Probability
# COLUMN pp_unk_rel_prob: Relative Probability due to Unknown Background Source
#
kepoi_name,pp_host_rel_prob,pp_host_prob_score,pp_1hi_starid,pp_1hi_rel_prob,pp_2hi_starid,pp_2hi_rel_prob,pp_unk_rel_prob
K00889.01,1.00000e+00,1.000,KIC 757450,1.00000e+00,KIC 757441,9.10000e-102,1.7260000e-06
K01009.01,5.10000e-37,1.000,UKIRT 44117921893471,1.00000e+00,KIC 892772,5.10000e-37,1.6900000e-05
K07621.01,3.80000e-01,0.060,UKIRT 44117921624732,3.80000e-01,KIC 1025986,3.80000e-01,2.3520000e-04
K06252.01,1.00000e+00,1.000,KIC 1026032,1.00000e+00,,,4.2280000e-06
K00958.01,1.00000e+00,1.000,KIC 1026957,1.00000e+00,KIC 1026951,8.80000e-101,8.9490000e-06
K01010.01,1.00000e+00,0.020,KIC 1027438,1.00000e+00,KIC 1027425,6.10000e-08,2.5760000e-04
K00984.01,3.30000e-01,0.780,hiresKIC 22000001,6.60000e-01,KIC 1161345,3.30000e-01,1.0960000e-04
K04920.01,6.20000e-01,0.820,KIC 1161949,6.20000e-01,KIC 1161966,3.80000e-01,1.9180000e-04
K04921.01,1.00000e+00,0.330,KIC 1164301,1.00000e+00,KIC 1164300,6.90000e-05,2.4960000e-04
K04162.01,9.90000e-01,0.950,KIC 1293031,9.90000e-01,UKIRT 44117921624977,5.30000e-03,1.3820000e-04
K07622.01,3.80000e-32,0.120,KIC 1293046,3.80000e-32,UKIRT 44117921624823,2.80000e-61,1.0000000e+00
K06253.01,6.70000e-02,0.000,UKIRT 44117921873447,9.30000e-01,KIC 1293379,6.70000e-02,1.8710000e-04
K04922.01,1.00000e+00,0.060,KIC 1297263,1.00000e+00,,,2.5700000e-04
K04923.01,3.80000e-01,0.000,KIC 1429589,3.80000e-01,hiresKIC 22000003,3.10000e-01,3.7970000e-04
K04873.01,1.00000e+00,1.000,KIC 1430305,1.00000e+00,KIC 1430308,2.20000e-06,3.8570000e-05
K00994.01,,0.000,,,,,
K00998.01,1.00000e+00,1.000,KIC 1432214,1.00000e+00,,,1.3410000e-06
K00992.01,2.70000e-01,0.670,KIC 1432798,7.30000e-01,KIC 1432789,2.70000e-01,3.7280000e-05
K00992.02,8.30000e-01,0.050,KIC 1432789,8.30000e-01,UKIRT 44117921879614,1.70000e-01,7.0230000e-04
K06254.01,,0.000,,,,,
K00982.01,0.00000e+00,1.000,,,,,
K03924.01,1.00000e+00,1.000,KIC 1433980,1.00000e+00,KIC 1433983,1.90000e-04,9.8600000e-05
K07623.01,,0.000,,,,,
K00362.01,1.00000e+00,1.000,KIC 1571511,1.00000e+00,,,6.1160000e-07
K04924.01,1.10000e-24,1.000,KIC 1572938,1.00000e+00,KIC 1572948,1.10000e-24,7.2960000e-05
K03658.01,6.20000e-01,0.210,KIC 1575690,6.20000e-01,UKIRT 44117921572420,3.80000e-01,1.3640000e-04
K04359.01,6.50000e-05,0.220,UKIRT 44117921964550,3.50000e-03,UKIRT 44117921964641,1.40000e-04,9.9630000e-01
K06255.01,8.40000e-01,0.000,KIC 1717528,8.40000e-01,KIC 1717523,6.20000e-02,3.9600000e-04
K03145.02,,0.000,,,,,
K03145.01,,0.000,,,,,
K00993.02,1.00000e+00,0.440,KIC 1718189,1.00000e+00,UKIRT 44117921630530,2.70000e-03,1.5500000e-04
K00993.03,3.10000e-01,0.000,KIC 1718189,3.10000e-01,UKIRT 44117921630530,3.00000e-01,2.9360000e-04
K00993.01,1.00000e+00,0.990,KIC 1718189,1.00000e+00,UKIRT 44117921630530,3.20000e-04,9.4530000e-05
K04053.01,1.00000e+00,1.000,KIC 1718958,1.00000e+00,UKIRT 44117921605216,2.40000e-07,6.3120000e-05
K04644.01,1.00000e+00,0.120,KIC 1721157,1.00000e+00,,,4.8020000e-04
K01008.01,1.00000e+00,1.000,KIC 1722276,1.00000e+00,KIC 1722278,1.80000e-102,2.8600000e-07
K07624.01,2.60000e-01,0.500,UKIRT 44117921574691,6.90000e-01,KIC 1723078,2.60000e-01,3.2900000e-05
K04224.01,5.50000e-01,0.880,KIC 1724513,5.50000e-01,UKIRT 44117921543384,1.50000e-08,4.5210000e-01
K04212.02,5.70000e-03,0.000,KIC 1724733,9.90000e-01,KIC 1724719,5.70000e-03,5.1400000e-06
K04212.01,1.20000e-01,0.560,UKIRT 44117921541629,8.50000e-01,KIC 1724719,1.20000e-01,2.1920000e-05
K01007.01,3.30000e-01,0.970,KIC 1725025,6.70000e-01,KIC 1725016,3.30000e-01,1.4680000e-05
K04925.01,1.00000e+00,0.970,KIC 1725193,1.00000e+00,,,1.1800000e-04
K02988.01,6.90000e-01,0.000,KIC 1725415,6.90000e-01,KIC 1725418,2.40000e-01,1.7660000e-04
K02538.01,1.00000e+00,0.780,KIC 1849702,1.00000e+00,KIC 1849714,7.10000e-14,6.2250000e-05
K01002.01,5.70000e-01,1.000,KIC 1865042,5.70000e-01,hiresKIC 22000005,4.30000e-01,2.1030000e-05
K04926.01,9.10000e-01,0.220,KIC 1865864,9.10000e-01,KIC 1865872,8.20000e-02,2.0190000e-04
K07625.01,9.60000e-01,0.000,KIC 1868404,9.60000e-01,KIC 1868411,3.20000e-02,8.7800000e-04
K04927.01,1.00000e+00,0.360,KIC 1870398,1.00000e+00,KIC 1870391,1.70000e-04,1.1880000e-04
K01001.01,1.00000e+00,1.000,KIC 1871056,1.00000e+00,UKIRT 44117921342834,9.20000e-37,4.1390000e-05
K01001.02,1.00000e+00,1.000,KIC 1871056,1.00000e+00,UKIRT 44117921342834,4.70000e-18,5.5330000e-05
K06256.01,9.90000e-01,0.000,KIC 1871483,9.90000e-01,UKIRT 44117921340759,4.90000e-03,7.5310000e-04
K02351.01,5.60000e-01,0.780,KIC 1872821,5.60000e-01,KIC 1872825,4.40000e-01,1.5020000e-04
K04928.01,1.00000e+00,1.000,KIC 1873513,1.00000e+00,,,1.5680000e-06
K02634.01,1.00000e+00,0.560,KIC 1995519,1.00000e+00,,,2.5130000e-04
K07626.01,8.10000e-01,0.500,KIC 1995712,8.10000e-01,KIC 1995711,1.30000e-38,1.9020000e-01
K03351.01,1.00000e+00,1.000,KIC 1995732,1.00000e+00,,,2.6700000e-06
K02534.02,9.00000e-03,0.220,KIC 1996174,9.70000e-01,KIC 1996182,1.10000e-02,3.4470000e-06
K02534.01,1.00000e+00,1.000,KIC 1996180,1.00000e+00,KIC 1996182,4.60000e-07,2.2030000e-05
K01026.01,5.30000e-01,0.180,KIC 1996399,5.30000e-01,UKIRT 44117921508644,4.50000e-01,1.5670000e-02
K00147.01,1.20000e-101,1.000,KIC 1996683,1.00000e+00,KIC 1996679,1.20000e-101,8.5990000e-07
K08084.01,7.80000e-01,0.940,KIC 2010152,7.80000e-01,KIC 2010141,2.10000e-45,2.1830000e-01
K03999.01,7.60000e-96,0.030,KIC 2010188,7.60000e-96,KIC 2010191,7.60000e-96,1.0000000e+00
K04929.01,1.00000e+00,1.000,KIC 2010607,1.00000e+00,UKIRT 44117921413513,7.90000e-19,2.3370000e-05
K06257.01,1.00000e+00,0.000,KIC 2012722,1.00000e+00,KIC 2012711,5.80000e-19,1.4000000e-03
K06258.01,2.40000e-07,0.670,hiresKIC 22000006,8.70000e-02,KIC 2013883,2.40000e-07,9.1350000e-01
K02178.01,5.50000e-12,0.880,UKIRT 44117921390134,1.00000e+00,KIC 2014991,5.50000e-12,1.7130000e-05
K04930.01,9.00000e-96,0.440,KIC 2015013,9.00000e-96,UKIRT 44117921388884,9.00000e-96,1.0000000e+00
K03585.01,1.00000e+00,1.000,KIC 2019076,1.00000e+00,,,3.2550000e-06
K04931.01,4.40000e-01,0.140,KIC 2019199,4.40000e-01,UKIRT 44117921339269,3.00000e-01,2.7170000e-03
K06093.02,2.20000e-01,0.000,KIC 2019484,7.40000e-01,KIC 2019477,2.20000e-01,7.0480000e-05
K06093.01,1.30000e-01,0.000,KIC 2019484,6.90000e-01,KIC 2019477,1.30000e-01,6.2370000e-05
K01987.01,1.20000e-03,0.590,KIC 2021440,1.20000e-03,KIC 2021432,1.10000e-27,9.9880000e-01
K07627.01,,0.000,,,,,
K02201.01,1.00000e+00,1.000,KIC 2141783,1.00000e+00,UKIRT 44117921509060,5.70000e-61,1.0270000e-05
