TCE_ID,Score,period,Rp,SNR_DV
002452185-04,0.011,415.95388633,3.09,7.1
003330773-01,0.012,0.99077908,0.472,10.3
003340070-04,0.036,403.69920325,2.87,7.6
003526555-01,0.036,456.07227838,2.157,7.1
003532734-01,0.011,49.67280422,9.333,8.6
003940418-02,0.021,397.7715849,2.176,8.7
004060287-01,0.036,270.62427417,3.08,9.0
004476139-01,0.015,174.3443395,1.876,7.4
004640798-01,0.019,409.73751071,1.845,7.1
004988995-01,0.011,256.80588578,2.061,7.1
005040003-01,0.039,5.23975804,2.119,7.4
005179232-01,0.04,246.58312025,2.197,7.7
005544413-02,0.012,72.07906918,0.898,6.6
005772756-01,0.013,231.90192008,6.883,8.4
005905736-01,0.032,137.30866583,25.049,7.2
006038777-02,0.024,362.9247533,3.167,7.5
006347809-01,0.019,283.60454241,2.148,6.8
006422367-04,0.028,350.84938825,1.928,7.5
006450010-01,0.03,367.4042739,8.072,9.1
007008200-03,0.025,280.20324281,2.534,7.7
007026272-01,0.043,186.50403135,1.462,7.8
007515103-01,0.033,216.19370335,2.118,7.0
007594098-01,0.032,171.43261048,0.99,7.7
007613898-01,0.016,313.29957141,1.79,5.7
007732163-01,0.013,226.63701108,1.789,6.9
007960279-01,0.049,433.0301269,1.78,6.9
008155300-01,0.014,382.32131299,1.781,9.6
008219151-01,0.021,281.83861845,3.357,7.7
008312853-01,0.044,251.64322562,1.094,7.0
008939837-01,0.038,323.68640939,1.475,6.3
008956025-02,0.029,86.40892079,2.891,6.7
008956706-05,0.021,351.65075031,3.336,8.8
008956706-06,0.043,376.76777814,2.921,9.2
008963059-01,0.03,507.75375314,3.037,7.3
009024729-01,0.021,258.72212198,2.378,7.0
009084222-03,0.032,99.25754053,2.226,7.3
009348924-01,0.027,401.33195084,1.797,7.8
009415129-01,0.04,205.11057823,2.229,7.4
009763796-01,0.032,277.07740154,15.501,7.0
009943441-02,0.02,42.98807045,4.984,7.3
009957415-01,0.019,284.44503177,2.157,6.6
009967646-01,0.02,151.69002816,49.895,8.0
010198937-01,0.014,237.23835113,1.683,8.0
010201255-02,0.022,334.03842773,1.273,5.5
010621791-01,0.013,1.34891642,0.848,9.2
010678963-06,0.028,195.94187319,3.544,7.7
010722101-01,0.036,424.79382603,1.961,7.1
010736157-01,0.024,471.62086137,2.159,5.2
010817608-01,0.014,524.75357415,1.357,8.0
010909367-06,0.011,103.30285314,1.531,7.2
011075429-07,0.019,118.72625172,2.2,6.3
011141326-01,0.017,467.00009453,4.237,7.8
011450551-01,0.011,366.85368328,1.884,5.6
011512820-01,0.013,38.9260879,0.569,7.5
011760959-04,0.026,127.76580641,2.91,8.0
011861688-01,0.021,285.7829515,2.773,7.8
012266450-01,0.033,473.72888153,2.651,7.1
012459725-01,0.014,340.33127282,3.271,9.3
